,index,0
0,ACUCL,ACURA
1,ILX,ACURA
2,INTEG,ACURA
3,LEGEND,ACURA
4,MDX,ACURA
5,NSX,ACURA
6,ACUOTH,ACURA
7,RDX,ACURA
8,RL,ACURA
9,RLX,ACURA
10,RSX,ACURA
11,SLX,ACURA
12,TL,ACURA
13,ACUTLX,ACURA
14,TSX,ACURA
15,VIGOR,ACURA
16,ZDX,ACURA
17,ALFA164,ALFA
18,ALFA4C,ALFA
19,ALFA8C,ALFA
20,ALFAGIULIA,ALFA
21,ALFAGT,ALFA
22,MIL,ALFA
23,ALFAOTH,ALFA
24,SPID,ALFA
25,ALFASTELV,ALFA
26,ASTONDB11,ASTON
27,DB7,ASTON
28,DB9,ASTON
29,DBS,ASTON
30,ASTONDBX,ASTON
31,LAGONDA,ASTON
32,ASTOTH,ASTON
33,RAPIDE,ASTON
34,ASTRAPIDES,ASTON
35,V12VANT,ASTON
36,VANTAGE,ASTON
37,VANQUISH,ASTON
38,VIRAGE,ASTON
39,AUDI100,AUDI
40,AUDI200,AUDI
41,4000,AUDI
42,5000,AUDI
43,80,AUDI
44,90,AUDI
45,A3,AUDI
46,A4,AUDI
47,A5,AUDI
48,A6,AUDI
49,A7,AUDI
50,A8,AUDI
51,ALLRDQUA,AUDI
52,AUDICABRI,AUDI
53,AUDICOUPE,AUDI
54,AUDIETRON,AUDI
55,AUDOTH,AUDI
56,Q3,AUDI
57,Q5,AUDI
58,Q7,AUDI
59,AUDIQ8,AUDI
60,QUATTR,AUDI
61,R8,AUDI
62,AUDIRS3,AUDI
63,RS4,AUDI
64,RS5,AUDI
65,RS6,AUDI
66,AUDIRS7,AUDI
67,AUDIRSQ8,AUDI
68,AUDS3,AUDI
69,S4,AUDI
70,S5,AUDI
71,S6,AUDI
72,S7,AUDI
73,S8,AUDI
74,AUDISQ5,AUDI
75,AUDISQ7,AUDI
76,AUDISQ8,AUDI
77,TT,AUDI
78,TTRS,AUDI
79,TTS,AUDI
80,V8,AUDI
81,ARNAGE,BENTL
82,AZURE,BENTL
83,BENBENTAY,BENTL
84,BROOKLANDS,BENTL
85,BENCONT,BENTL
86,BENEIGHT,BENTL
87,BENFLYSPUR,BENTL
88,BENMUL,BENTL
89,BENOTH,BENTL
90,BENTURBO,BENTL
91,1SERIESM,BMW
92,128I,BMW
93,135I,BMW
94,135IS,BMW
95,BMW228I,BMW
96,BMW228IGC,BMW
97,BMW228IXD,BMW
98,BMW228XDGC,BMW
99,BMW230I,BMW
100,BMW230IXD,BMW
101,318I,BMW
102,318IS,BMW
103,318TI,BMW
104,320I,BMW
105,320IXD,BMW
106,323CI,BMW
107,323I,BMW
108,323IS,BMW
109,BMW325,BMW
110,325CI,BMW
111,325E,BMW
112,325ES,BMW
113,325I,BMW
114,325IS,BMW
115,325IX,BMW
116,325XI,BMW
117,328CI,BMW
118,BMW328D,BMW
119,BMW328DXD,BMW
120,328I,BMW
121,BMW328GTXD,BMW
122,328IXD,BMW
123,328IS,BMW
124,328XI,BMW
125,330CI,BMW
126,BMW330E,BMW
127,BMW330EXD,BMW
128,330I,BMW
129,BMW330XDGT,BMW
130,BMW330IXD,BMW
131,330XI,BMW
132,335D,BMW
133,335I,BMW
134,BMW335GTXD,BMW
135,335IXD,BMW
136,335IS,BMW
137,335XI,BMW
138,BMW340I,BMW
139,BMW340XDGT,BMW
140,BMW340IXD,BMW
141,BMW428I,BMW
142,BMW428GC,BMW
143,BMW428GCXD,BMW
144,BMW428IXD,BMW
145,BMW430I,BMW
146,BMW430GC,BMW
147,BMW430GCXD,BMW
148,BMW430IXD,BMW
149,BMW435I,BMW
150,BMW435GC,BMW
151,BMW435GCXD,BMW
152,BMW435IXD,BMW
153,BMW440I,BMW
154,BMW440GC,BMW
155,BMW440GCXD,BMW
156,BMW440IXD,BMW
157,524TD,BMW
158,525I,BMW
159,525XI,BMW
160,528E,BMW
161,528I,BMW
162,528IXD,BMW
163,528XI,BMW
164,BMW530E,BMW
165,BMW530EXD,BMW
166,530I,BMW
167,BMW530IXD,BMW
168,530XI,BMW
169,533I,BMW
170,BMW535D,BMW
171,BMW535DXD,BMW
172,535I,BMW
173,535IGT,BMW
174,535IGTXD,BMW
175,535IXD,BMW
176,535XI,BMW
177,BMW540DXD,BMW
178,540I,BMW
179,BMW540IXD,BMW
180,545I,BMW
181,550I,BMW
182,550IGT,BMW
183,550IGTXD,BMW
184,550IXD,BMW
185,633CSI,BMW
186,635CSI,BMW
187,640I,BMW
188,640IGC,BMW
189,BMW640GCXD,BMW
190,BMW640GTXD,BMW
191,BMW640IXD,BMW
192,645CI,BMW
193,650I,BMW
194,650IGC,BMW
195,650IGCXD,BMW
196,650IXD,BMW
197,733I,BMW
198,735I,BMW
199,735IL,BMW
200,BMW740EXD,BMW
201,740I,BMW
202,BMW740IXD,BMW
203,740IL,BMW
204,BMW740LDXD,BMW
205,740LI,BMW
206,740LIXD,BMW
207,BMW745EXD,BMW
208,745I,BMW
209,745LI,BMW
210,750I,BMW
211,750IXD,BMW
212,750IL,BMW
213,750LI,BMW
214,750LIXD,BMW
215,760I,BMW
216,760LI,BMW
217,840CI,BMW
218,BMW840I,BMW
219,BMW840GC,BMW
220,BMW840GCXD,BMW
221,BMW840IXD,BMW
222,850CI,BMW
223,850CSI,BMW
224,850I,BMW
225,ACTIVE3,BMW
226,ACTIVE5,BMW
227,ACTIVE7,BMW
228,ACTIVEX6,BMW
229,BMWB6XDGC,BMW
230,ALPINAB7,BMW
231,ALPINAB7XD,BMW
232,BMWALPXB7,BMW
233,BMWI3,BMW
234,BMWI8,BMW
235,L6,BMW
236,L7,BMW
237,BMWMCOUPE,BMW
238,BMWROAD,BMW
239,BMWM2,BMW
240,BMWM235I,BMW
241,BMWM235IXD,BMW
242,BMWM235GC,BMW
243,BMWM240I,BMW
244,BMWM240IXD,BMW
245,M3,BMW
246,BMWM340I,BMW
247,BMWM340IXD,BMW
248,BMWM4,BMW
249,BMWM440IXD,BMW
250,M5,BMW
251,BMWM550IXD,BMW
252,M6,BMW
253,BMWM6GC,BMW
254,BMWM760IXD,BMW
255,BMWM8,BMW
256,BMWM8GCXD,BMW
257,BMWM850GCX,BMW
258,BMW850IXD,BMW
